"","shapeID","adm_pop"
"321","10800210B20515568933500",88017.4962881928
"322","10800210B23470577588067",232374.195270625
"323","10800210B26344076542723",26022.2734434547
"324","10800210B2800497533490",85489.8935146253
"325","10800210B28216506156245",88190.3863874258
"326","10800210B39461050964926",335454.328160226
"327","10800210B39782956615971",198835.537540631
"328","10800210B41812565387288",119278.897518509
"329","10800210B44488917334986",136591.782920761
"330","10800210B53073192190863",88429.1895715831
"331","10800210B53685260454781",955261.180285436
"332","10800210B54463644997685",243421.697836485
"333","10800210B58781405840719",434475.734603392
"334","10800210B63841479422356",340922.65399909
"335","10800210B65194490964920",108646.830201001
"336","10800210B66581866957995",556008.397903954
"337","10800210B74925506200485",727714.167000775
"338","10800210B80153830865201",149352.360751726
"339","10800210B86029592505559",40044.4395604299
"340","10800210B89898169718474",54201.7992509105
"341","10800210B94224648391824",58422.7801698848
"342","10938185B16418977449415",10670.585447939
"343","10938185B16841428111903",32566.3048285501
"344","10938185B23268545061954",204992.785761634
"345","10938185B41806506469500",12604.3065034009
"346","10938185B42418571168375",32547.0973228246
"347","10938185B46959303700006",36506.2983334473
"348","10938185B5285365051467",12550.9937173657
"349","10938185B58200193875213",0
"350","10938185B67203865227918",47180.7471217841
"351","10938185B70444296254874",32035.8061203749
"352","10938185B74704582538531",12693.7113139059
"353","10938185B82482804134728",53550.3658632916
"354","10938185B83207987774368",16632.9670190068
"355","10938185B83767222062315",123442.573864226
"356","10938185B84550121750878",34117.6592635694
"357","10938185B8813398551192",17053.3140522864
"358","10938185B89113061759376",5083.47194213455
"359","11065452B13026737962858",2037.03798765261
"360","11065452B18175278434840",46263.540881795
"361","11065452B197102371645",257281.66487531
"362","11065452B22787327477805",8318.29170134699
"363","11065452B27397509806446",41186.4856245322
"364","11065452B28626668585382",39416.4643726951
"365","11065452B2915005607236",16205.3890465707
"366","11065452B35658646165921",35620.8224886716
"367","11065452B3926826010895",19449.1853093997
"368","11065452B43435483695389",36582.3016923776
"369","11065452B47830871634702",4067.4233012104
"370","11065452B58050641555743",13373.036445587
"371","11065452B59369715507709",3663.80414534747
"372","11065452B6027875666302",65778.0981508838
"373","11065452B61336086634219",13472.4965577227
"374","11065452B68125244133984",21417.848972701
"375","11065452B69220194361963",29055.013993323
"376","11065452B69337055746076",6500.99108586209
"377","11065452B69866248222639",4433.69278461616
"378","11065452B74289865102960",18539.0551337855
"379","11065452B87560810385120",12755.7963030908
"380","11065452B89932418637458",17342.21820958
"381","11065452B93144755032170",21836.491635125
"382","11065452B93694652116414",93148.3252909353
"383","11065452B98139425844484",331026.320686795
"384","11073933B10081187632075",14854.470683091
"385","11073933B10840798821427",2540.23860235408
"386","11073933B11473586856113",20971.9731476851
"387","11073933B11857526728254",27263.064382371
"388","11073933B12024765433347",68363.0772847474
"389","11073933B12294325171620",7347.63149088446
"390","11073933B12847988988129",73584.7078556361
"391","11073933B12971467535025",123206.71104171
"392","11073933B13074477354821",2210.80854275629
"393","11073933B13135122027765",11353.2688681036
"394","11073933B13326591098915",160794.676524607
"395","11073933B13675479869139",96024.387594229
"396","11073933B13850172377915",6669.74350449455
"397","11073933B14625516032048",5411.18557462812
"398","11073933B15317454106195",12159.148190813
"399","11073933B15415036914368",22506.0206431218
"400","11073933B15415376777440",7627.73748631115
"401","11073933B15477689161909",117538.507062635
"402","11073933B15769898773158",20738.2857856436
"403","11073933B16019911575035",5734.3333414473
"404","11073933B16084634216948",21374.6669940329
"405","11073933B16490042876020",2426.82871153389
"406","11073933B16762458037381",8674.02742499618
"407","11073933B1752440021495",72024.7265943089
"408","11073933B17991480709399",4501.19474490024
"409","11073933B19187847284982",37493.2243463253
"410","11073933B19325728163127",52380.5926290465
"411","11073933B19535093433490",9565.83252029371
"412","11073933B20362331933895",19853.3064917708
"413","11073933B20706546892567",4956.00233563397
"414","11073933B21023419534378",6848.78660681868
"415","11073933B2112298620757",8610.82142848633
"416","11073933B2112323428088",28272.9855277369
"417","11073933B21836306016820",4915.99563526111
"418","11073933B22016289688142",6222.62240993435
"419","11073933B2225307378707",4994.64052840892
"420","11073933B22947984833563",25473.7697931058
"421","11073933B23075399217747",4295.85865401385
"422","11073933B23123992727576",23945.343853596
"423","11073933B23380921323151",219654.752967836
"424","11073933B23443232587918",1646.87369108202
"425","11073933B23463767759248",11441.0957367524
"426","11073933B24070550581270",7807.61395983136
"427","11073933B24244433397016",18761.8298012391
"428","11073933B2459629476986",5633.39322353496
"429","11073933B24629330490100",3966.66068641954
"430","11073933B24668638232764",18501.8269990753
"431","11073933B25796021717649",5047.03562860632
"432","11073933B25849937463122",64461.1644540118
"433","11073933B25869413818863",153288.308704366
"434","11073933B25972122565440",11516.6511680418
"435","11073933B263247908014",13127.0853154952
"436","11073933B26365447539606",7461.46936328082
"437","11073933B26825395320641",50058.4109166434
"438","11073933B27269477608253",29487.7440551091
"439","11073933B27735752337332",65041.6966871628
"440","11073933B27801994190777",61683.838021173
"441","11073933B28191755272534",16147.9983469928
"442","11073933B29358282959248",14520.0314463662
"443","11073933B30225728921551",7587.04127119259
"444","11073933B30564090209046",24556.9468388738
"445","11073933B30647455597456",55604.9937937751
"446","11073933B31319860532940",12679.3009504207
"447","11073933B31540416569910",12626.6455732539
"448","11073933B31543272666548",5259.55679554005
"449","11073933B31653322787795",3570.39954464216
"450","11073933B33108893953415",16538.2316599169
"451","11073933B33157960586974",48966.6719604037
"452","11073933B33604860566485",28823.0775713347
"453","11073933B34081717318669",10581.3270279849
"454","11073933B34503227317791",7189.18378939058
"455","11073933B34534607262890",9641.92578156977
"456","11073933B34733413977176",4569.92046495597
"457","11073933B3545449226215",1605.36075445033
"458","11073933B35640651728573",21468.4667543788
"459","11073933B35895017683429",10779.8844238523
"460","11073933B36016916597735",8976.63429952798
"461","11073933B36823254892561",7206.69364061466
"462","11073933B38096344578427",2981.47958501153
"463","11073933B38243230659065",692.920428045787
"464","11073933B39000904635626",15114.6956239615
"465","11073933B39067578770889",11799.6372216283
"466","11073933B39113223594870",4935.72873334306
