"","ADM2_id","exposure_days","total_population","region","person_day_exposure","pop_wt_grdi","country"
"39","2640588B33083527354868",1,1387655.55953998,"Western Pacific",1387655.55953998,52.480034017085,"Philippines"
"40","2640588B36229801410553",1,525000.430574618,"Western Pacific",525000.430574618,61.3148669282049,"Philippines"
"41","2640588B49362051778248",1,944981.548809761,"Western Pacific",944981.548809761,46.3879004143069,"Philippines"
"42","2640588B50881283310688",1,838390.922681722,"Western Pacific",838390.922681722,52.6562059723066,"Philippines"
"43","2640588B52568839586340",1,1912971.81864713,"Western Pacific",1912971.81864713,56.8142990402438,"Philippines"
"44","2640588B69436428808540",1,182381.052683315,"Western Pacific",182381.052683315,62.9770359361923,"Philippines"
"45","2640588B82822310999177",1,279335.133512407,"Western Pacific",279335.133512407,48.9143430355961,"Philippines"
"46","2640588B94420346402626",2,234160.353439919,"Western Pacific",468320.706879838,63.7489564295711,"Philippines"
"47","35162164B10462811723711",1,10701.005865683,"Americas",10701.005865683,33.5558914005268,"Jamaica"
"48","35162164B10896570080574",1,1145.97994285282,"Americas",1145.97994285282,63.5120230975479,"Jamaica"
"49","35162164B11517368414750",1,1879.41397591362,"Americas",1879.41397591362,66.4455485387895,"Jamaica"
"50","35162164B13080681802385",1,849.306193378642,"Americas",849.306193378642,66.1438245430665,"Jamaica"
"51","35162164B14186353694037",1,1560.20544162087,"Americas",1560.20544162087,51.4267174391528,"Jamaica"
"52","35162164B1433837472990",1,2634.14205956452,"Americas",2634.14205956452,55.383945429992,"Jamaica"
"53","35162164B15686644794557",1,424.714436780214,"Americas",424.714436780214,55.0473587436172,"Jamaica"
"54","35162164B16484391965954",1,3076.88342116997,"Americas",3076.88342116997,50.5866008217969,"Jamaica"
"55","35162164B1682453304038",1,1670.04371776678,"Americas",1670.04371776678,66.4039976733841,"Jamaica"
"56","35162164B17395603055172",1,2472.02732392575,"Americas",2472.02732392575,46.0482060970308,"Jamaica"
"57","35162164B18081939382744",1,1214.12359348992,"Americas",1214.12359348992,56.9017168128413,"Jamaica"
