"","ADM2_id","exposure_days","total_population","region","person_day_exposure","pop_wt_grdi","country"
"2674","81297802B26729031323268",1,94341.0544031451,"Western Pacific",94341.0544031451,38.3237935000078,"Viet Nam"
"2675","81297802B27432396017289",1,113453.338925605,"Western Pacific",113453.338925605,31.5309321160719,"Viet Nam"
"2676","81297802B28152038240632",1,167287.98178555,"Western Pacific",167287.98178555,28.9674858381497,"Viet Nam"
"2677","81297802B28789600266311",1,233951.12659906,"Western Pacific",233951.12659906,40.9109796271101,"Viet Nam"
"2678","81297802B29202402001629",1,138209.000587932,"Western Pacific",138209.000587932,40.5454313681535,"Viet Nam"
"2679","81297802B29311833142389",1,90715.3836663314,"Western Pacific",90715.3836663314,23.3472837268995,"Viet Nam"
"2680","81297802B29420287983322",1,134865.140728881,"Western Pacific",134865.140728881,30.3884720584137,"Viet Nam"
"2681","81297802B29506934186430",1,104449.184334069,"Western Pacific",104449.184334069,28.2094006103791,"Viet Nam"
"2682","81297802B29692958480362",1,116140.382682231,"Western Pacific",116140.382682231,25.6796988638843,"Viet Nam"
"2683","81297802B29855819440848",1,26779.396516816,"Western Pacific",26779.396516816,40.508886139697,"Viet Nam"
"2684","81297802B29926011513196",1,110873.21228766,"Western Pacific",110873.21228766,21.2622612306562,"Viet Nam"
"2685","81297802B30186135932553",1,157384.281576324,"Western Pacific",157384.281576324,31.178470633029,"Viet Nam"
"2686","81297802B30321615980530",1,37458.3167788039,"Western Pacific",37458.3167788039,22.6263735075299,"Viet Nam"
"2687","81297802B30557639912850",1,58012.2194365733,"Western Pacific",58012.2194365733,56.6383000963793,"Viet Nam"
"2688","81297802B30905014988311",1,183750.010506506,"Western Pacific",183750.010506506,32.2681082852771,"Viet Nam"
"2689","81297802B31270346353021",1,169222.964645074,"Western Pacific",169222.964645074,18.0117021391809,"Viet Nam"
"2690","81297802B31371166923700",1,98959.5298546768,"Western Pacific",98959.5298546768,49.5887666118492,"Viet Nam"
"2691","81297802B31644345342604",1,180593.472478862,"Western Pacific",180593.472478862,11.9816065023565,"Viet Nam"
"2692","81297802B31840185218616",1,123874.635763536,"Western Pacific",123874.635763536,36.5632069998083,"Viet Nam"
"2693","81297802B31894177777214",1,94919.9503323924,"Western Pacific",94919.9503323924,39.7890997871076,"Viet Nam"
"2694","81297802B32233799995516",1,35518.6559478926,"Western Pacific",35518.6559478926,2.62659808552951,"Viet Nam"
"2695","81297802B3249391660958",1,158425.142460892,"Western Pacific",158425.142460892,22.6389781606415,"Viet Nam"
"2696","81297802B33082020704537",1,105540.60704299,"Western Pacific",105540.60704299,16.4979929900883,"Viet Nam"
"2697","81297802B33091662264636",1,119302.718847233,"Western Pacific",119302.718847233,13.9711661291934,"Viet Nam"
"2698","81297802B33733008951227",1,241171.90372978,"Western Pacific",241171.90372978,21.2491805320592,"Viet Nam"
"2699","81297802B33900605812276",1,68731.8734148975,"Western Pacific",68731.8734148975,43.8057817416077,"Viet Nam"
